epoch;loss;val_loss
0;124.76700592041016;85.68228149414062
1;68.25621795654297;43.15761947631836
2;41.480377197265625;31.22530746459961
3;31.674875259399414;23.792022705078125
4;26.833358764648438;22.877790451049805
5;23.887317657470703;18.80556297302246
6;21.727468490600586;18.255970001220703
7;20.19171714782715;17.46445655822754
8;18.838825225830078;17.304927825927734
9;17.801105499267578;14.825098991394043
10;17.001850128173828;14.02872085571289
11;16.235506057739258;14.434922218322754
12;15.815803527832031;13.861905097961426
13;15.169175148010254;13.61137866973877
14;14.814682006835938;13.616021156311035
15;14.344120979309082;13.46378231048584
16;14.05024242401123;13.023008346557617
17;13.677471160888672;12.495471954345703
18;13.390828132629395;12.680968284606934
19;13.256267547607422;12.403873443603516
20;12.922412872314453;12.405517578125
21;12.642255783081055;11.8411283493042
22;12.490482330322266;12.203815460205078
23;12.333907127380371;11.302024841308594
24;11.991180419921875;11.689080238342285
25;11.80024242401123;11.858059883117676
26;11.576421737670898;11.499534606933594
27;11.556941032409668;11.202330589294434
28;11.392095565795898;11.376997947692871
29;11.118033409118652;11.085480690002441
30;10.989933967590332;11.168581008911133
31;11.003463745117188;11.035347938537598
32;10.913346290588379;10.912412643432617
33;10.78619384765625;11.300067901611328
34;10.652926445007324;11.160555839538574
35;10.617551803588867;11.481671333312988
36;10.500761032104492;10.537405014038086
37;10.365856170654297;10.89478588104248
38;10.346687316894531;10.690962791442871
39;10.199450492858887;10.693124771118164
40;10.175689697265625;11.348122596740723
41;10.085711479187012;10.360038757324219
42;10.06128978729248;10.179889678955078
43;9.87617301940918;10.217040061950684
44;9.834139823913574;10.587187767028809
45;9.808852195739746;10.676919937133789
46;9.545021057128906;10.263933181762695
47;9.508152961730957;10.242033958435059
48;9.433799743652344;10.211106300354004
49;9.499013900756836;10.387120246887207
50;9.508624076843262;9.965002059936523
51;9.346471786499023;10.677664756774902
52;9.386984825134277;9.862342834472656
53;9.36129379272461;9.980144500732422
54;9.348835945129395;9.899556159973145
55;9.249028205871582;9.985779762268066
56;9.177241325378418;10.850075721740723
57;9.252741813659668;9.951208114624023
58;9.084090232849121;9.930588722229004
59;9.070769309997559;10.18726921081543
60;9.01129150390625;10.157609939575195
61;8.944525718688965;10.466029167175293
62;8.969077110290527;9.978865623474121
63;8.85629653930664;10.285160064697266
64;8.822251319885254;10.321324348449707
65;8.857343673706055;9.93545150756836
66;8.810072898864746;10.235858917236328
67;8.720359802246094;10.34911823272705
68;7.638002872467041;9.135493278503418
69;7.130013465881348;8.891006469726562
70;6.9458327293396;9.13059139251709
71;6.879525184631348;8.956653594970703
72;6.72286319732666;9.198501586914062
73;6.7036919593811035;9.006397247314453
74;6.613431453704834;8.828811645507812
75;6.5283894538879395;8.87957763671875
76;6.469954013824463;9.052050590515137
77;6.34982442855835;9.159771919250488
78;6.441072940826416;8.699685096740723
79;6.237374305725098;9.0699462890625
80;6.2019243240356445;9.052210807800293
81;6.180872917175293;8.648905754089355
82;6.173105239868164;8.561532020568848
83;6.081160545349121;8.745901107788086
84;6.181459426879883;8.554047584533691
85;6.050783634185791;8.86307144165039
86;6.096222877502441;8.600626945495605
87;6.023547172546387;8.984354972839355
88;6.009646892547607;8.638148307800293
89;6.087887763977051;8.468798637390137
90;5.916746139526367;8.538710594177246
91;5.895242214202881;8.480366706848145
92;5.878166675567627;8.711078643798828
93;5.824042797088623;8.639459609985352
94;5.865683555603027;8.534114837646484
95;5.842072486877441;9.108389854431152
96;5.788406848907471;9.15496826171875
97;5.750340461730957;8.949219703674316
98;5.733443260192871;8.739250183105469
99;5.80367374420166;8.58291244506836
100;5.675901889801025;8.661559104919434
101;5.692905426025391;8.760359764099121
102;5.63430643081665;8.582362174987793
103;5.679229259490967;8.73373031616211
104;5.625216960906982;8.60812759399414
105;5.428422927856445;8.62969970703125
106;5.382326126098633;8.489593505859375
107;5.3375020027160645;9.187443733215332
108;5.416624546051025;9.002737045288086
109;5.351049423217773;8.882664680480957
